1;tench
1;tinca tinca
2;goldfish
2;carassius auratus
3;great white shark
3;white shark
3;man-eater
3;man-eating shark
3;carcharodon carcharias
4;tiger shark
4;galeocerdo cuvieri
5;hammerhead
5;hammerhead shark
6;electric ray
6;crampfish
6;numbfish
6;torpedo
7;stingray
8;cock
9;hen
10;ostrich
10;struthio camelus
11;brambling
11;fringilla montifringilla
12;goldfinch
12;carduelis carduelis
13;house finch
13;linnet
13;carpodacus mexicanus
14;junco
14;snowbird
15;indigo bunting
15;indigo finch
15;indigo bird
15;passerina cyanea
16;robin
16;american robin
16;turdus migratorius
17;bulbul
18;jay
19;magpie
20;chickadee
21;water ouzel
21;dipper
22;kite
23;bald eagle
23;american eagle
23;haliaeetus leucocephalus
24;vulture
25;great grey owl
25;great gray owl
25;strix nebulosa
26;european fire salamander
26;salamandra salamandra
27;common newt
27;triturus vulgaris
28;eft
29;spotted salamander
29;ambystoma maculatum
30;axolotl
30;mud puppy
30;ambystoma mexicanum
31;bullfrog
31;rana catesbeiana
32;tree frog
32;tree-frog
33;tailed frog
33;bell toad
33;ribbed toad
33;tailed toad
33;ascaphus trui
34;loggerhead
34;loggerhead turtle
34;caretta caretta
35;leatherback turtle
35;leatherback
35;leathery turtle
35;dermochelys coriacea
36;mud turtle
37;terrapin
38;box turtle
38;box tortoise
39;banded gecko
40;common iguana
40;iguana
40;iguana iguana
41;american chameleon
41;anole
41;anolis carolinensis
42;whiptail
42;whiptail lizard
43;agama
44;frilled lizard
44;chlamydosaurus kingi
45;alligator lizard
46;gila monster
46;heloderma suspectum
47;green lizard
47;lacerta viridis
48;african chameleon
48;chamaeleo chamaeleon
49;komodo dragon
49;komodo lizard
49;dragon lizard
49;giant lizard
49;varanus komodoensis
50;african crocodile
50;nile crocodile
50;crocodylus niloticus
51;american alligator
51;alligator mississipiensis
52;triceratops
53;thunder snake
53;worm snake
53;carphophis amoenus
54;ringneck snake
54;ring-necked snake
54;ring snake
55;hognose snake
55;puff adder
55;sand viper
56;green snake
56;grass snake
57;king snake
57;kingsnake
58;garter snake
59;water snake
60;vine snake
61;night snake
61;hypsiglena torquata
62;boa constrictor
62;constrictor constrictor
63;rock python
63;rock snake
63;python sebae
64;indian cobra
64;naja naja
65;green mamba
66;sea snake
67;horned viper
67;cerastes
67;horned asp
67;cerastes cornutus
68;diamondback
68;diamondback rattlesnake
68;crotalus adamanteus
69;sidewinder
69;horned rattlesnake
69;crotalus cerastes
70;trilobite
71;harvestman
71;daddy longlegs
71;phalangium opilio
72;scorpion
73;black and gold garden spider
73;argiope aurantia
74;barn spider
74;araneus cavaticus
75;garden spider
75;aranea diademata
76;black widow
76;latrodectus mactans
77;tarantula
78;wolf spider
78;hunting spider
79;tick
80;centipede
81;black grouse
82;ptarmigan
83;ruffed grouse
83;bonasa umbellus
84;prairie chicken
84;prairie grouse
84;prairie fowl
85;peacock
86;quail
87;partridge
88;african grey
88;african gray
88;psittacus erithacus
89;macaw
90;sulphur-crested cockatoo
90;kakatoe galerita
90;cacatua galerita
91;lorikeet
92;coucal
93;bee eater
94;hornbill
95;hummingbird
96;jacamar
97;toucan
98;drake
99;red-breasted merganser
99;mergus serrator
100;goose
101;black swan
101;cygnus atratus
